Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
enfewuzeh,DE,311,1204,188.98.71.251,dslb-188-098-071-251.188.098.pools.vodafone-ip.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-03-18,VODANET International IP-Backbone of Vodafone- DE,3209,953,None
Enflurane,PT,1311,284,188.82.129.46,bl17-129-46.dsl.telepac.pt,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-12-23,MEO-RESIDENCIAL- PT,3243,5300,None
Enflurane,GB,4713,417,148.253.182.142,tor.enflurane.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-07-01,ASPIRE01- GB,51043,15000,None
engee,IN,4126,250,116.203.22.86,static.86.22.203.116.clients.your-server.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0,0,2019-07-05,HETZNER-AS- DE,24940,11000,[2a01:4f8:1c0c:5812::1]:9001
enif,DE,1809,2462,144.76.50.37,tobi.gsgd.net,9050,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2014-01-01,HETZNER-AS- DE,24940,4500,None
ENiGMA,DE,51981,912,5.9.121.207,static.207.121.9.5.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-02-13,HETZNER-AS- DE,24940,130000,None
Enimal,FR,7486,224,213.32.90.15,15.ip-213-32-90.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2016-12-10,OVH- FR,16276,18000,None
Enos,RU,32007,3096,195.189.96.148,195.189.96.148,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.7 on Linux,0,0,2018-12-22,CHERRYSERVERS2-AS- LT,59642,68000,None
EntitaetNull,DE,0,13,85.214.156.28,anonymizer.zesstra.de,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2014-04-08,STRATO STRATO AG- DE,6724,34,None
ephemer4,GB,1278,471,128.232.18.58,ephemer.sec.cl.cam.ac.uk,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-01-26,JANET Jisc Services Limited- GB,786,2800,[2001:630:212:2a8:a6bf:1ff:fe25:b961]:9001
ephemera,FI,3403,236,95.216.1.161,ceres.sd.ai,7973,7712,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2015-11-22,HETZNER-AS- DE,24940,13000,None
EpicKingdom,N/A,365,170,193.36.119.17,193.36.119.17,443,80,0,1,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-06-21,ESTNOC-AS- EE,206804,772,None
epsilon,SK,1966,1968,147.175.187.180,epsilon.ynet.sk,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.11 on SunOS,0,0,2016-11-11,SANET Slovak Academic Network- SK,2607,8700,None
epsylonhost,DE,0,19,77.6.93.181,x4d065db5.dyn.telefonica.de,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-11-20,TDDE-ASN1- DE,6805,21,None
Equinox,FR,548,952,188.213.28.132,node2.tor.maximemichaud.me,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-02-03,FIRSTHEBERG- FR,197922,1560,[2a03:75c0:28:8f70::1]:9001
equipment,IN,440,79,14.141.116.26,14.141.116.26.static-Delhi.vsnl.net.in,443,9091,0,1,0,0,0,0,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-06,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP- IN,4755,21,None
erbridge,DE,50,18,83.135.82.90,i5387525A.versanet.de,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-02-18,VERSATEL- DE,8881,206,None
erbse,AT,41467,416,109.70.100.3,tor-exit-anonymizer-02.appliedprivacy.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2018-04-05,NEXTLAYER-AS- AT,1764,109000,[2a03:e600:100::3]:443
erdapfel,AT,40835,416,109.70.100.5,tor-exit-anonymizer-04.appliedprivacy.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2018-04-12,NEXTLAYER-AS- AT,1764,110000,[2a03:e600:100::5]:443
